sim_time,reservation_time_trigger,user_requests,request_batch
0,0.0,0.0,0.00706
60,0.0,0.0,0.16821
120,0.0,0.0,0.03575
180,0.0,0.13246,0.00181
240,0.0,0.0,0.00578
300,0.0,0.06737,0.0021
360,0.0,0.15016,0.00336
420,0.0,0.0,0.00776
480,0.0,0.0,0.00522
540,0.0,0.0,0.0053
600,0.0,0.0,0.00585
660,0.0,0.03777,0.00283
720,0.0,0.0,0.00556
780,0.0,0.0,0.00494
840,0.0,0.1,0.00348
900,0.0,0.13383,0.00354
960,0.0,0.17554,0.0046
1020,0.0,0.0,0.00994
1080,0.0,0.24357,0.00436
1140,0.0,0.11344,0.0061
1200,0.0,0.11604,0.00446
1260,0.0,0.0,0.0068
1320,0.0,0.05163,0.0063
1380,0.0,0.0,0.00803
1440,0.0,0.03266,0.00157
1500,0.0,0.12861,0.00312
1560,0.0,0.0545,0.00322
1620,0.0,0.11574000000000001,0.00394
1680,0.0,0.36245,0.00822
1740,0.0,0.0,0.01075
1800,0.0,0.0,0.00877
1860,0.0,0.0,0.00456
1920,0.0,0.0,0.00575
1980,0.0,0.0,0.00489
2040,0.0,0.09229000000000001,0.00321
2100,0.0,0.08248,0.00406
2160,0.0,0.02067,0.00722
2220,0.0,0.0,0.01027
2280,0.0,0.04363,0.00369
2340,0.0,0.04755,0.00496
2400,0.0,0.02118,0.00481
2460,0.0,0.14177,0.00579
2520,0.0,0.07346,0.00576
2580,0.0,0.0444,0.00789
2640,0.0,0.0,0.01127
2700,0.0,0.06263,0.00427
2760,0.0,0.05319,0.00457
2820,0.0,0.0,0.01099
2880,0.0,0.10683000000000001,0.00682
2940,0.0,0.04715,0.00434
3000,0.0,0.0584,0.00358
3060,0.0,0.12943,0.00246
3120,0.0,0.0,0.00734
3180,0.0,0.0,0.01139
3240,0.0,0.0,0.00664
3300,0.0,0.0257,0.00574
3360,0.0,0.02753,0.00832
3420,0.0,0.04174,0.00283
3480,0.0,0.0,0.00657
3540,0.0,0.0,0.00886
3600,0.0,0.15256999999999998,0.00311
3660,0.0,0.0,0.00627
3720,0.0,0.06217,0.00372
3780,0.0,0.0,0.01112
3840,0.0,0.19574,0.00496
3900,0.0,0.0,0.01159
3960,0.0,0.0,0.00995
4020,0.0,0.0,0.01538
4080,0.0,0.0,0.00526
4140,0.0,0.0,0.00666
4200,0.0,0.0,0.01031
4260,0.0,0.03637,0.00284
4320,0.0,0.10278000000000001,0.00367
4380,0.0,0.11034,0.00481
4440,0.0,0.10223,0.0094
4500,0.0,0.0,0.01435
4560,0.0,0.0437,0.0101
4620,0.0,0.15228999999999998,0.00596
4680,0.0,0.06936,0.00998
4740,0.0,0.0,0.01636
4800,0.0,0.0,0.0155
4860,0.0,0.05441,0.00381
4920,0.0,0.08671,0.0028
4980,0.0,0.09405,0.00394
5040,0.0,0.0,0.00771
5100,0.0,0.11845,0.0036
5160,0.0,0.04425,0.00362
5220,0.0,0.04199,0.00393
5280,0.0,0.0,0.01054
5340,0.0,0.0,0.01249
5400,0.0,0.09971,0.00635
5460,0.0,0.2029,0.00965
5520,0.0,0.20551,0.01063
5580,0.0,0.18145,0.00709
5640,0.0,0.0,0.01161
5700,0.0,0.09762,0.00571
5760,0.0,0.0359,0.01139
5820,0.0,0.0,0.01414
5880,0.0,0.0,0.01427
5940,0.0,0.0,0.01201
6000,0.0,0.0,0.00941
6060,0.0,0.06278,0.00457
6120,0.0,0.0,0.0127
6180,0.0,0.0,0.01335
6240,0.0,0.04703,0.00281
6300,0.0,0.0,0.0074
6360,0.0,0.0,0.01121
6420,0.0,0.06679,0.00332
6480,0.0,0.0,0.01204
6540,0.0,0.02593,0.005
6600,0.0,0.13737,0.00786
6660,0.0,0.13476,0.00582
6720,0.0,0.0,0.01261
6780,0.0,0.0,0.01471
6840,0.0,0.11551999999999998,0.00594
6900,0.0,0.11812,0.00748
6960,0.0,0.0,0.01622
7020,0.0,0.0,0.01572
7080,0.0,0.0,0.01034
7140,0.0,0.07171,0.00457
